Timestamp,Left Pupil,Right Pupil
15:02:51.780439,"(173, 166)","(243, 166)"
15:02:51.975554,"(174, 165)","(243, 165)"
15:02:52.154484,"(174, 165)","(242, 165)"
15:02:52.336145,,
15:02:52.505637,,
15:02:52.703864,"(172, 170)","(240, 169)"
15:02:52.893880,"(172, 167)","(240, 167)"
15:02:53.079927,"(171, 165)","(240, 166)"
15:02:53.254471,"(171, 166)","(240, 168)"
15:02:53.424151,"(171, 165)","(239, 168)"
15:02:53.596751,"(172, 165)","(240, 166)"
15:02:53.802726,"(174, 165)","(242, 166)"
15:02:53.993384,"(174, 167)","(242, 166)"
15:02:54.186611,"(174, 167)","(242, 166)"
15:02:54.373140,"(173, 168)","(241, 167)"
15:02:54.560070,"(173, 168)","(242, 167)"
15:02:54.761104,"(168, 167)","(237, 168)"
15:02:54.915733,"(167, 167)","(236, 167)"
15:02:55.116774,"(167, 168)","(235, 167)"
15:02:55.303408,"(166, 167)","(235, 167)"
15:02:55.508680,"(167, 167)","(236, 168)"
15:02:55.685340,"(168, 168)","(236, 168)"
15:02:55.874156,"(171, 164)","(237, 164)"
15:02:56.064591,"(168, 168)","(236, 167)"
15:02:56.252186,"(167, 168)","(235, 168)"
15:02:56.438021,"(166, 167)","(235, 168)"
15:02:56.625627,"(167, 167)","(236, 168)"
15:02:56.828781,"(168, 167)","(237, 167)"
15:02:56.997039,,
15:02:57.201428,"(172, 166)","(241, 166)"
15:02:57.391669,"(173, 166)","(239, 165)"
15:02:57.593289,"(172, 166)","(239, 165)"
15:02:57.788609,"(172, 166)","(239, 166)"
15:02:57.971059,"(172, 167)","(240, 167)"
15:02:58.151261,"(170, 167)","(239, 167)"
15:02:58.369739,"(170, 170)","(239, 169)"
15:02:58.553903,"(170, 175)","(239, 173)"
15:02:58.751598,"(165, 176)","(235, 174)"
15:02:58.923896,"(166, 176)","(234, 173)"
15:02:59.119195,"(167, 175)","(236, 173)"
15:02:59.299054,"(166, 174)","(233, 172)"
15:02:59.454480,"(163, 174)","(232, 172)"
15:02:59.668723,"(168, 173)","(236, 171)"
15:02:59.839385,"(174, 171)","(245, 163)"
15:03:00.002222,"(173, 170)","(244, 163)"
15:03:00.207511,"(168, 170)","(235, 168)"
15:03:00.362783,"(169, 171)","(236, 169)"
15:03:00.547957,"(171, 170)","(237, 167)"
15:03:00.715499,"(171, 170)","(238, 169)"
15:03:00.905706,"(170, 171)","(236, 168)"
15:03:01.094413,"(167, 171)","(234, 169)"
15:03:01.257117,"(168, 171)","(235, 170)"
15:03:01.418006,"(169, 172)","(236, 170)"
15:03:01.592347,"(170, 172)","(238, 170)"
15:03:01.763544,"(172, 171)","(239, 170)"
15:03:01.931944,"(175, 170)","(243, 170)"
15:03:02.132061,"(175, 171)","(243, 170)"
15:03:02.335555,"(173, 171)","(241, 171)"
15:03:02.519735,"(173, 171)","(240, 171)"
15:03:02.724265,"(173, 171)","(240, 170)"
15:03:02.927340,"(173, 171)","(240, 170)"
15:03:03.099223,"(172, 172)","(242, 172)"
15:03:03.271952,"(167, 167)","(235, 169)"
15:03:03.474758,"(163, 160)","(230, 163)"
15:03:03.656888,"(170, 162)","(236, 163)"
15:03:03.846301,,
15:03:04.016258,,
15:03:04.190999,,
15:03:04.379090,"(180, 164)","(247, 166)"
15:03:04.557195,"(179, 167)","(247, 166)"
15:03:04.747140,"(174, 165)","(243, 165)"
15:03:04.933221,"(174, 165)","(243, 165)"
15:03:05.115454,"(176, 166)","(244, 166)"
15:03:05.304535,"(176, 166)","(244, 166)"
15:03:05.489081,,
15:03:05.676012,,
15:03:05.864208,"(176, 166)","(243, 166)"
15:03:06.051146,"(176, 167)","(244, 167)"
15:03:06.250735,"(175, 167)","(243, 166)"
15:03:06.436882,,
15:03:06.642556,"(175, 165)","(242, 165)"
15:03:06.845140,,
15:03:07.024758,"(176, 163)","(242, 163)"
15:03:07.181033,"(175, 163)","(241, 164)"
15:03:07.372954,,
15:03:07.557110,,
15:03:07.729701,"(173, 163)","(240, 163)"
15:03:07.916376,,
15:03:08.101110,"(174, 162)","(241, 162)"
15:03:08.269825,"(173, 161)","(241, 164)"
15:03:08.454739,,
15:03:08.646820,"(174, 163)","(241, 163)"
15:03:08.830904,,
15:03:09.011821,"(174, 162)","(241, 165)"
15:03:09.215441,,
15:03:09.385855,,
15:03:09.570020,"(174, 163)","(242, 164)"
15:03:09.726577,,
15:03:09.892563,,
15:03:10.096415,,
15:03:10.310180,,
15:03:10.480088,,
15:03:10.690295,,
15:03:10.897366,,
15:03:11.087567,,
15:03:11.262303,"(173, 166)","(242, 166)"
15:03:11.443490,"(173, 162)","(240, 163)"
15:03:11.614020,"(175, 161)","(242, 164)"
15:03:11.788717,,
15:03:11.988802,,
15:03:12.192260,,
15:03:12.374810,,
15:03:12.547322,,
15:03:12.734267,,
15:03:12.917709,"(175, 161)","(243, 161)"
15:03:13.103630,"(175, 159)","(243, 160)"
15:03:13.279714,,
15:03:13.464307,"(177, 163)","(246, 162)"
15:03:13.656182,"(178, 163)","(246, 163)"
15:03:13.857641,,
15:03:14.062235,"(177, 160)","(245, 160)"
15:03:14.235816,"(178, 161)","(245, 161)"
15:03:14.437012,,
15:03:14.623606,,
15:03:14.825227,,
15:03:15.024155,,
15:03:15.191598,,
15:03:15.391920,,
15:03:15.607225,,
15:03:15.795413,,
15:03:15.985891,,
15:03:16.186889,,
15:03:16.397183,,
15:03:16.567479,,
15:03:16.736420,"(179, 159)","(246, 160)"
15:03:16.937924,"(178, 159)","(246, 159)"
15:03:17.156274,,
15:03:17.355698,"(178, 160)","(246, 160)"
15:03:17.543210,,
15:03:17.726564,,
15:03:17.915315,,
15:03:18.118705,,
15:03:18.319480,,
15:03:18.486903,,
15:03:18.674668,,
15:03:18.860099,,
15:03:19.025902,,
15:03:19.230844,"(182, 161)","(248, 161)"
15:03:19.416895,,
15:03:19.617072,"(180, 159)","(247, 160)"
15:03:19.775424,,
15:03:19.957194,,
15:03:20.161094,,
15:03:20.365601,,
15:03:20.534996,,
15:03:20.734877,,
15:03:20.907525,,
15:03:21.093699,,
15:03:21.292975,,
15:03:21.453464,,
15:03:21.625983,,
15:03:21.801090,,
15:03:21.980911,,
15:03:22.157258,,
15:03:22.314564,,
15:03:22.489987,,
15:03:22.673783,,
15:03:22.861903,,
15:03:23.050919,,
15:03:23.221223,,
15:03:23.378877,,
15:03:23.549044,,
15:03:23.707939,,
15:03:23.875747,,
15:03:24.034199,,
15:03:24.202756,,
15:03:24.375666,,
15:03:24.542135,,
15:03:24.697751,,
15:03:24.870978,,
15:03:25.057471,,
15:03:25.247330,,
15:03:25.417222,,
15:03:25.584503,,
15:03:25.743816,,
15:03:25.929726,,
15:03:26.096221,"(175, 158)","(243, 156)"
15:03:26.282258,,
15:03:26.466866,,
15:03:26.624903,,
15:03:26.827444,,
15:03:26.996353,,
15:03:27.163350,,
15:03:27.335437,,
15:03:27.505142,,
15:03:27.662001,,
15:03:27.846027,,
15:03:28.000725,,
15:03:28.171465,,
15:03:28.334418,,
15:03:28.524888,,
15:03:28.694579,,
15:03:28.867517,,
15:03:29.039031,,
15:03:29.224105,,
15:03:29.379673,,
15:03:29.549040,,
15:03:29.704688,,
15:03:29.874198,,
15:03:30.077484,,
15:03:30.265648,,
15:03:30.452091,,
15:03:30.638934,,
15:03:30.838930,,
15:03:31.010919,"(179, 159)","(245, 159)"
15:03:31.154821,"(179, 158)","(245, 159)"
15:03:31.317045,,
15:03:31.504806,,
15:03:31.672504,"(178, 160)","(246, 159)"
15:03:31.843540,"(179, 159)","(246, 159)"
15:03:31.990989,"(179, 159)","(245, 159)"
15:03:32.151194,,
15:03:32.301898,,
15:03:32.461779,,
15:03:32.628606,,
15:03:32.823863,,
15:03:33.015110,,
