Timestamp,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
1690920845.076604,0.04,0.0,0.1,0.0,0.33,0.01,0.51
1690920845.271608,0.11,0.0,0.11,0.0,0.17,0.08,0.53
1690920845.478608,0.13,0.0,0.11,0.0,0.17,0.08,0.51
1690920845.686613,0.05,0.0,0.03,0.01,0.14,0.02,0.76
1690920845.898611,0.05,0.0,0.03,0.0,0.13,0.03,0.76
1690920846.100611,0.14,0.0,0.06,0.0,0.28,0.04,0.48
1690920846.307613,0.05,0.0,0.07,0.0,0.17,0.11,0.6
1690920846.522616,0.05,0.0,0.03,0.0,0.13,0.01,0.77
1690920846.748618,0.11,0.0,0.05,0.0,0.17,0.05,0.6
1690920846.964618,0.04,0.0,0.04,0.0,0.15,0.05,0.71
1690920847.179622,0.06,0.0,0.05,0.0,0.16,0.05,0.68
1690920847.381625,0.07,0.0,0.08,0.0,0.16,0.03,0.66
1690920847.577622,0.08,0.0,0.06,0.0,0.28,0.03,0.55
1690920847.781636,0.02,0.0,0.08,0.0,0.12,0.02,0.77
1690920847.975625,0.12,0.0,0.07,0.0,0.22,0.02,0.56
1690920848.192627,0.04,0.0,0.02,0.0,0.11,0.0,0.82
1690920848.397627,0.18,0.0,0.07,0.0,0.22,0.05,0.47
1690920848.59763,0.12,0.0,0.06,0.0,0.28,0.02,0.51
1690920848.792663,0.07,0.0,0.05,0.0,0.29,0.03,0.55
1690920849.027665,0.13,0.0,0.1,0.0,0.23,0.09,0.46
1690920849.240665,0.13,0.0,0.09,0.0,0.36,0.07,0.35
1690920849.442668,0.18,0.01,0.09,0.01,0.28,0.12,0.31
1690920849.643667,0.26,0.0,0.1,0.01,0.25,0.11,0.27
1690920849.84367,0.14,0.0,0.07,0.01,0.24,0.06,0.48
1690920850.044673,0.1,0.0,0.08,0.0,0.29,0.04,0.49
1690920850.247673,0.11,0.0,0.09,0.0,0.31,0.1,0.39
1690920850.454675,0.17,0.0,0.08,0.0,0.32,0.04,0.38
1690920850.654675,0.13,0.0,0.08,0.01,0.36,0.06,0.36
1690920850.856677,0.1,0.0,0.11,0.0,0.28,0.03,0.48
1690920851.058678,0.16,0.0,0.1,0.01,0.3,0.06,0.37
1690920851.265681,0.13,0.0,0.1,0.0,0.35,0.06,0.35
1690920851.470682,0.06,0.0,0.12,0.0,0.36,0.02,0.44
1690920851.685684,0.14,0.02,0.1,0.0,0.29,0.02,0.42
1690920851.886687,0.11,0.01,0.12,0.0,0.31,0.03,0.43
1690920852.095686,0.09,0.0,0.11,0.0,0.35,0.01,0.43
1690920852.292687,0.08,0.0,0.12,0.0,0.22,0.04,0.54
1690920852.501688,0.05,0.0,0.1,0.0,0.3,0.02,0.52
1690920852.704692,0.13,0.01,0.06,0.0,0.41,0.01,0.38
1690920852.915694,0.06,0.0,0.07,0.01,0.26,0.03,0.57
1690920853.132696,0.14,0.0,0.1,0.0,0.21,0.04,0.5
1690920853.337696,0.15,0.0,0.07,0.0,0.23,0.03,0.52
1690920853.549698,0.1,0.0,0.12,0.0,0.3,0.06,0.42
1690920853.7557,0.13,0.01,0.12,0.0,0.23,0.07,0.45
1690920853.975699,0.11,0.01,0.08,0.0,0.28,0.03,0.48
1690920854.185701,0.05,0.0,0.1,0.0,0.21,0.06,0.58
1690920854.409702,0.02,0.0,0.07,0.0,0.21,0.02,0.67
1690920854.608705,0.06,0.0,0.04,0.0,0.15,0.01,0.74
1690920854.817708,0.09,0.0,0.05,0.0,0.16,0.01,0.68
1690920855.045708,0.06,0.0,0.05,0.0,0.4,0.02,0.47
1690920855.25571,0.12,0.0,0.07,0.0,0.36,0.03,0.41
1690920855.473711,0.09,0.0,0.05,0.0,0.12,0.05,0.69
1690920855.685714,0.08,0.0,0.07,0.0,0.18,0.04,0.62
1690920855.912715,0.09,0.0,0.14,0.0,0.22,0.05,0.5
1690920856.126717,0.12,0.0,0.1,0.0,0.18,0.04,0.56
1690920856.333717,0.29,0.0,0.1,0.0,0.28,0.04,0.29
1690920856.555719,0.16,0.02,0.12,0.0,0.32,0.04,0.34
1690920856.767721,0.16,0.0,0.1,0.0,0.24,0.05,0.44
1690920856.984722,0.16,0.0,0.07,0.0,0.28,0.03,0.46
1690920857.189724,0.09,0.0,0.08,0.0,0.21,0.04,0.58
1690920857.411728,0.12,0.0,0.13,0.0,0.19,0.03,0.54
1690920857.621728,0.1,0.0,0.07,0.0,0.19,0.06,0.58
1690920857.835731,0.16,0.0,0.14,0.0,0.26,0.07,0.37
1690920858.051729,0.12,0.0,0.13,0.0,0.19,0.06,0.49
1690920858.259731,0.07,0.0,0.06,0.0,0.37,0.05,0.44
1690920858.481733,0.19,0.01,0.09,0.0,0.37,0.06,0.28
1690920858.689733,0.18,0.0,0.13,0.0,0.35,0.03,0.31
1690920858.900737,0.07,0.0,0.11,0.0,0.46,0.03,0.31
1690920859.130739,0.12,0.0,0.1,0.0,0.28,0.04,0.45
1690920859.37474,0.15,0.0,0.09,0.0,0.21,0.04,0.5
1690920859.595742,0.15,0.0,0.07,0.0,0.41,0.02,0.36
1690920859.806741,0.1,0.0,0.07,0.0,0.29,0.02,0.53
1690920860.033745,0.16,0.0,0.07,0.0,0.21,0.02,0.54
1690920860.247746,0.15,0.0,0.06,0.0,0.14,0.08,0.57
1690920860.461747,0.07,0.0,0.08,0.0,0.14,0.04,0.68
1690920860.677749,0.2,0.01,0.11,0.0,0.31,0.14,0.24
1690920860.911754,0.1,0.0,0.06,0.0,0.19,0.06,0.58
1690920861.139752,0.07,0.0,0.09,0.0,0.18,0.07,0.58
1690920861.356754,0.13,0.0,0.08,0.0,0.38,0.05,0.35
1690920861.570756,0.07,0.0,0.05,0.0,0.14,0.03,0.71
1690920861.78676,0.08,0.0,0.05,0.0,0.14,0.02,0.72
1690920862.00576,0.13,0.01,0.13,0.0,0.3,0.04,0.39
1690920862.230762,0.15,0.0,0.13,0.01,0.3,0.06,0.35
1690920862.480762,0.2,0.0,0.08,0.0,0.39,0.03,0.29
1690920862.692765,0.16,0.0,0.05,0.0,0.29,0.04,0.46
1690920862.918768,0.08,0.0,0.11,0.0,0.29,0.03,0.48
1690920863.161768,0.12,0.0,0.15,0.0,0.3,0.02,0.41
1690920863.383768,0.19,0.0,0.13,0.0,0.28,0.08,0.32
1690920863.596771,0.27,0.0,0.04,0.0,0.4,0.01,0.28
1690920863.818774,0.26,0.0,0.05,0.0,0.45,0.01,0.22
1690920864.069775,0.24,0.0,0.06,0.0,0.35,0.02,0.33
1690920864.290774,0.1,0.0,0.04,0.01,0.48,0.02,0.36
1690920864.531791,0.15,0.0,0.12,0.0,0.23,0.11,0.39
1690920864.76878,0.19,0.0,0.13,0.0,0.31,0.05,0.31
1690920865.013781,0.13,0.0,0.12,0.0,0.19,0.19,0.38
1690920865.237782,0.27,0.0,0.06,0.0,0.28,0.03,0.36
1690920865.472866,0.2,0.0,0.07,0.0,0.47,0.02,0.23
1690920865.690868,0.22,0.01,0.07,0.0,0.3,0.14,0.26
1690920865.923869,0.16,0.0,0.09,0.0,0.27,0.01,0.47
1690920866.142873,0.23,0.0,0.06,0.0,0.27,0.02,0.41
1690920866.357875,0.16,0.0,0.09,0.0,0.25,0.08,0.42
1690920866.574876,0.14,0.0,0.07,0.01,0.23,0.06,0.49
1690920866.794878,0.1,0.0,0.08,0.0,0.19,0.09,0.52
1690920867.028878,0.2,0.0,0.1,0.01,0.25,0.16,0.28
1690920867.246881,0.19,0.0,0.06,0.01,0.4,0.06,0.29
1690920867.533885,0.2,0.0,0.07,0.0,0.21,0.04,0.47
1690920867.749884,0.19,0.0,0.08,0.0,0.24,0.03,0.46
1690920867.973932,0.05,0.0,0.06,0.01,0.22,0.02,0.65
1690920868.200933,0.05,0.0,0.11,0.0,0.16,0.06,0.61
1690920868.444935,0.07,0.0,0.03,0.01,0.15,0.02,0.72
1690920868.661939,0.05,0.0,0.09,0.0,0.2,0.06,0.59
1690920868.88494,0.13,0.0,0.09,0.0,0.34,0.04,0.4
1690920869.13594,0.12,0.01,0.06,0.01,0.32,0.05,0.43
1690920869.366941,0.11,0.01,0.11,0.0,0.3,0.08,0.39
1690920869.606942,0.08,0.0,0.08,0.01,0.4,0.13,0.3
1690920869.827949,0.13,0.0,0.07,0.0,0.33,0.08,0.39
1690920870.070946,0.14,0.0,0.06,0.0,0.19,0.03,0.58
1690920870.297948,0.12,0.0,0.05,0.01,0.38,0.02,0.43
1690920870.532948,0.08,0.0,0.06,0.0,0.13,0.05,0.68
1690920870.74995,0.12,0.0,0.03,0.0,0.26,0.03,0.56
1690920870.983953,0.09,0.0,0.07,0.01,0.24,0.06,0.52
1690920871.202955,0.28,0.0,0.06,0.0,0.35,0.03,0.27
1690920871.427957,0.26,0.0,0.05,0.01,0.33,0.05,0.31
1690920871.663959,0.21,0.0,0.05,0.01,0.39,0.04,0.3
1690920871.878961,0.12,0.01,0.09,0.0,0.54,0.02,0.22
1690920872.096002,0.21,0.0,0.06,0.01,0.39,0.04,0.29
1690920872.323003,0.11,0.0,0.07,0.01,0.31,0.07,0.44
1690920872.540007,0.18,0.0,0.07,0.0,0.31,0.09,0.35
1690920872.766006,0.12,0.0,0.04,0.0,0.11,0.02,0.7
1690920872.991008,0.33,0.0,0.06,0.01,0.3,0.03,0.27
1690920873.21301,0.05,0.0,0.13,0.0,0.26,0.04,0.52
1690920873.435013,0.06,0.0,0.08,0.0,0.31,0.03,0.51
1690920873.687015,0.11,0.01,0.04,0.0,0.39,0.01,0.44
1690920873.926016,0.06,0.0,0.07,0.0,0.22,0.02,0.63
1690920874.159019,0.08,0.0,0.1,0.0,0.38,0.06,0.39
1690920874.405021,0.06,0.0,0.06,0.0,0.16,0.06,0.65
1690920874.639066,0.12,0.0,0.05,0.0,0.29,0.02,0.53
1690920874.881067,0.2,0.0,0.08,0.0,0.39,0.01,0.31
1690920875.12807,0.26,0.0,0.04,0.0,0.3,0.01,0.39
1690920875.362073,0.17,0.0,0.05,0.0,0.33,0.01,0.44
1690920875.608075,0.09,0.0,0.1,0.0,0.33,0.05,0.43
1690920875.853076,0.09,0.0,0.11,0.0,0.27,0.07,0.46
1690920876.114078,0.2,0.0,0.05,0.0,0.5,0.05,0.2
1690920876.366079,0.16,0.0,0.08,0.0,0.47,0.03,0.26
1690920876.622081,0.25,0.0,0.12,0.0,0.36,0.04,0.22
1690920876.857084,0.22,0.0,0.13,0.0,0.38,0.03,0.22
1690920877.094085,0.08,0.0,0.09,0.0,0.23,0.07,0.53
1690920877.336087,0.11,0.0,0.13,0.0,0.29,0.06,0.41
1690920877.584091,0.15,0.0,0.12,0.0,0.51,0.03,0.19
1690920877.825089,0.08,0.0,0.1,0.0,0.25,0.03,0.53
1690920878.073093,0.07,0.0,0.08,0.0,0.28,0.07,0.5
1690920878.317096,0.08,0.0,0.09,0.0,0.28,0.07,0.48
1690920878.559098,0.09,0.0,0.13,0.0,0.32,0.07,0.39
1690920878.821149,0.1,0.0,0.13,0.0,0.27,0.09,0.41
1690920879.096151,0.09,0.0,0.07,0.0,0.22,0.05,0.56
1690920879.346153,0.08,0.0,0.02,0.01,0.28,0.03,0.58
1690920879.595154,0.19,0.0,0.06,0.0,0.29,0.13,0.34
1690920879.827159,0.21,0.0,0.05,0.01,0.25,0.15,0.32
1690920880.058159,0.23,0.01,0.09,0.0,0.22,0.14,0.31
1690920880.28716,0.16,0.0,0.03,0.0,0.29,0.02,0.5
1690920880.511161,0.11,0.0,0.04,0.0,0.37,0.02,0.45
