timestamps,TP9,AF7,AF8,TP10,Right AUX
1691171863.136,-76.660,-301.270,-28.809,-74.219,0.000
1691171863.140,-61.523,-894.043,-37.598,-82.031,0.000
1691171863.144,-31.250,-680.664,-30.273,-62.988,0.000
1691171863.148,-22.461,58.594,-21.973,-23.438,0.000
1691171863.152,-64.453,-122.559,-49.805,-45.410,0.000
1691171863.156,-57.129,-793.945,-62.012,-81.543,0.000
1691171863.159,-39.062,-893.066,-29.297,-57.129,0.000
1691171863.163,-49.316,-123.047,-16.113,-27.344,0.000
1691171863.167,-45.898,-108.398,-23.926,-29.297,0.000
1691171863.171,-51.270,-861.816,-24.414,-45.410,0.000
1691171863.175,-50.781,-1000.000,-22.461,-55.664,0.000
1691171863.179,-35.156,-167.969,-28.320,-39.551,0.000
1691171863.183,-38.086,410.156,-31.250,-23.438,0.000
1691171863.187,-43.945,-477.539,-22.949,-25.879,0.000
1691171863.191,-36.133,-1000.000,-20.020,-13.672,0.000
1691171863.195,-11.719,-399.902,-24.414,-11.719,0.000
1691171863.199,-16.113,434.082,-23.438,-25.391,0.000
1691171863.202,-37.598,-260.742,-32.715,-26.855,0.000
1691171863.206,-44.434,-1000.000,-40.527,-36.133,0.000
1691171863.210,-41.016,-822.754,-39.551,-42.480,0.000
1691171863.214,-25.879,-78.613,-28.809,-24.902,0.000
1691171863.218,-25.391,-344.238,-31.738,-25.879,0.000
1691171863.222,-32.715,-1000.000,-36.133,-34.180,0.000
1691171863.226,-38.574,-799.805,-29.297,-30.762,0.000
1691171863.230,-12.695,-23.926,-28.809,-12.207,0.000
1691171863.234,-1.465,37.598,-25.879,-12.695,0.000
1691171863.238,-13.672,-599.609,-24.902,-34.180,0.000
1691171863.242,-6.836,-984.863,-23.926,-45.410,0.000
1691171863.245,5.859,-616.211,-22.949,-44.922,0.000
1691171863.249,14.648,18.066,-37.598,-62.012,0.000
1691171863.253,0.488,-378.906,-41.504,-78.613,0.000
1691171863.257,-13.672,-1000.000,-33.691,-73.242,0.000
1691171863.261,1.465,-860.352,-47.852,-42.969,0.000
1691171863.265,8.301,-417.480,-41.992,-5.371,0.000
1691171863.269,-30.273,-379.883,-24.902,-17.578,0.000
1691171863.273,-58.594,-756.836,-26.855,-46.387,0.000
1691171863.277,-42.480,-883.301,-31.250,-35.156,0.000
1691171863.281,-29.785,-97.656,-25.879,-8.789,0.000
